Employee ID,Start Date,Degree,Graduation Date,Years Experience,Number of Jobs,Average Tenure,Department,Title,Gender,Ethnicity,Age,Employee Rating,Promoted
939493,4-Feb-15,Bachelor's Degree,8-Jul-12,1,3,0.17,Engineering,Associate,Male,Hispanic/Latino,22,0,No
939551,4-Mar-16,Bachelor's Degree,25-Jan-13,3,3,1.06,Sales,VP,Male,Asian,22,3,No
939609,24-Apr-15,Non-Degree Program,13-Jun-11,6,3,1.89,Marketing,Analyst,Female,White,29,2,No
939696,7-Oct-14,Bachelor's Degree,21-Nov-10,0,1,0.42,Engineering,Director,Male,Black or African American,22,3,Yes
930015,14-Feb-14,Master's Degree,17-Jul-09,20,3,6.78,Sales,Associate,Male,White,57,0,No
930305,13-Nov-15,Bachelor's Degree,10-Oct-12,4,3,1.21,Marketing,VP,Female,White,26,3,No
930392,29-Sep-14,Bachelor's Degree,18-Jan-14,8,5,1.62,Engineering,Analyst,Female,White,43,4,Yes
930479,30-May-14,Bachelor's Degree,5-Jul-09,7,3,2.25,Sales,Director,Female,White,40,3,Yes
930566,25-Aug-16,Master's Degree,25-Aug-13,10,3,3.42,Marketing,Associate,Female,White,29,0,Yes
930711,9-Sep-13,Master's Degree,8-Apr-12,7,2,3.71,Engineering,VP,Male,White,46,3,No
931639,13-May-16,Bachelor's Degree,22-Jul-15,3,3,1.11,Sales,Analyst,Female,White,34,3,Yes
931755,26-Apr-14,Bachelor's Degree,1-Oct-13,8,4,2.09,Marketing,Director,Female,White,29,3,Yes
932190,10-Jun-14,Bachelor's Degree,21-Apr-09,2,3,0.65,Engineering,Associate,Female,White,23,3,No
932306,23-Jul-13,Bachelor's Degree,18-Jun-08,2,3,0.62,Sales,VP,Female,Asian,24,3,No
932509,3-Jul-13,Bachelor's Degree,17-Aug-12,4,4,0.92,Marketing,Analyst,Female,White,27,3,Yes
932538,4-Dec-15,Doctorate Degree,7-Feb-11,7,4,1.87,Engineering,Director,Male,Black or African American,34,3,No
932625,31-Jul-15,Bachelor's Degree,13-Sep-12,1,3,0.22,Sales,Associate,Female,White,23,3,Yes
932654,29-Apr-15,Bachelor's Degree,7-Mar-13,5,3,1.59,Marketing,VP,Male,White,22,3,Yes
932683,29-Jan-15,Bachelor's Degree,17-May-14,1,3,0.2,Engineering,Analyst,Male,White,23,4,Yes
932712,24-Oct-15,Bachelor's Degree,19-Apr-11,6,3,1.98,Sales,Director,Female,White,23,3,No
932770,6-May-15,High School Diploma/GED,24-Oct-11,2,4,0.52,Marketing,Associate,Female,Black or African American,23,4,Yes
932799,11-Aug-13,Bachelor's Degree,24-Jul-08,2,1,2.3,Engineering,VP,Male,White,30,3,No
932828,25-Aug-16,Bachelor's Degree,5-May-14,10,4,2.56,Sales,Analyst,Male,Asian,22,3,Yes
932857,12-May-15,Bachelor's Degree,19-Feb-13,2,3,0.52,Marketing,Director,Male,White,23,4,Yes
933234,7-Sep-14,Bachelor's Degree,6-Jan-11,4,5,0.87,Engineering,Associate,Female,White,25,3,Yes
935351,25-Aug-16,Bachelor's Degree,18-Apr-15,3,4,0.65,Sales,VP,Female,White,26,3,No
935612,2-Apr-15,Bachelor's Degree,14-Oct-12,10,5,2.05,Marketing,Analyst,Female,White,36,3,No
936163,15-Mar-16,Master's Degree,5-May-10,9,4,2.13,Engineering,Director,Male,Asian,36,2,No
936308,17-Jun-15,Bachelor's Degree,12-Jul-11,4,2,1.83,Sales,Associate,Male,White,26,4,No
936540,28-Sep-15,Bachelor's Degree,4-Feb-11,5,3,1.64,Marketing,VP,Male,White,28,3,Yes
936685,8-Mar-15,Master's Degree,14-Nov-10,1,4,0.35,Engineering,Analyst,Female,Asian,24,3,Yes
937178,25-Aug-16,Bachelor's Degree,22-Jan-12,1,2,0.5,Sales,Director,Female,Asian,22,3,Yes
937526,25-Jan-16,Bachelor's Degree,29-May-12,3,2,1.42,Marketing,Associate,Female,White,24,3,Yes
937584,12-Aug-15,Bachelor's Degree,4-Nov-10,5,4,1.15,Engineering,VP,Female,White,24,4,Yes
937671,10-Aug-14,Bachelor's Degree,20-Sep-11,4,2,1.81,Sales,Analyst,Male,White,24,4,Yes
938251,19-Mar-15,Bachelor's Degree,1-Nov-09,4,6,0.71,Marketing,Director,Male,White,22,2,No
938280,14-Aug-13,Bachelor's Degree,31-Oct-07,1,3,0.22,Engineering,Associate,Female,Hispanic/Latino,22,3,Yes
938454,19-Jul-15,Bachelor's Degree,17-Jul-10,4,4,0.92,Sales,VP,Male,White,23,4,Yes
938541,25-Aug-16,Master's Degree,8-Jul-13,2,2,0.93,Marketing,Analyst,Male,White,23,3,Yes
938860,15-May-14,Other,4-Jul-12,3,2,1.53,Engineering,Director,Male,White,23,3,Yes
938889,19-Dec-15,Bachelor's Degree,20-Jun-12,1,3,0.2,Sales,Associate,Male,White,23,4,Yes
938918,30-Jan-15,High School Diploma/GED,2-Jan-13,1,3,0.17,Marketing,VP,Male,White,22,3,No
938976,21-Jul-15,Bachelor's Degree,6-Jan-14,2,4,0.58,Engineering,Analyst,Male,White,22,3,No
939005,6-Apr-14,None,25-Jun-11,0,2,0.13,Sales,Director,Male,White,22,2,No
939034,18-Mar-14,Bachelor's Degree,20-Nov-12,4,3,1.32,Marketing,Associate,Female,Black or African American,23,3,Yes
939063,31-May-16,High School Diploma/GED,13-Oct-11,1,2,0.38,Engineering,VP,Female,Asian,22,3,No
939179,25-Jan-16,Bachelor's Degree,7-Mar-11,2,2,0.79,Sales,Analyst,Female,White,23,3,Yes
939208,25-May-14,Bachelor's Degree,10-Apr-10,7,5,1.42,Marketing,Director,Female,White,23,3,Yes
939237,26-Apr-14,Bachelor's Degree,28-Nov-13,0,1,0.25,Engineering,Associate,Male,White,23,2,Yes
939266,16-Jul-14,Bachelor's Degree,2-Dec-12,4,3,1.38,Sales,VP,Male,White,23,0,No
939324,9-Oct-14,Bachelor's Degree,28-Sep-13,0,3,0.08,Marketing,Analyst,Female,White,22,2,No
939353,1-Feb-15,Bachelor's Degree,28-May-10,3,4,0.67,Engineering,Director,Female,White,22,3,Yes
939382,15-Feb-15,Bachelor's Degree,6-Oct-14,6,3,1.99,Sales,Associate,Female,White,22,3,Yes
939411,6-Oct-15,Bachelor's Degree,30-Dec-12,0,1,0.17,Marketing,VP,Male,Asian,24,3,No
939614,9-Aug-14,Bachelor's Degree,8-Aug-09,1,4,0.27,Engineering,Analyst,Female,White,22,4,Yes
939991,24-Aug-14,Bachelor's Degree,30-Nov-08,3,3,0.98,Sales,Director,Male,White,22,3,Yes
930020,16-Mar-14,Bachelor's Degree,22-Jun-09,6,3,1.83,Marketing,Associate,Female,White,31,3,Yes
930049,7-Jun-15,Master's Degree,21-Apr-11,5,3,1.5,Engineering,VP,Female,White,31,3,No
930339,25-Jul-13,Bachelor's Degree,21-Apr-08,2,2,1.12,Sales,Analyst,Male,White,22,3,Yes
930368,15-Aug-13,Bachelor's Degree,18-Oct-11,4,3,1.22,Marketing,Director,Male,White,22,4,Yes
930397,18-Feb-15,High School Diploma/GED,28-Mar-11,3,3,0.89,Engineering,Associate,Female,White,22,4,Yes
930455,8-Jan-16,Bachelor's Degree,26-Jan-14,4,2,2.22,Sales,VP,Male,White,22,4,Yes
930484,2-May-15,High School Diploma/GED,23-Jun-09,4,5,0.9,Marketing,Analyst,Male,White,22,4,Yes
930571,16-Jan-16,Bachelor's Degree,15-Jan-16,1,4,0.25,Engineering,Director,Male,Asian,22,4,No
930803,26-Jul-15,Bachelor's Degree,21-Oct-09,1,3,0.28,Sales,Associate,Male,White,23,3,No
930919,20-Sep-14,Bachelor's Degree,26-Jul-11,14,10,1.37,Marketing,VP,Female,White,25,3,Yes
931006,17-May-14,Bachelor's Degree,12-Jun-08,4,3,1.28,Engineering,Analyst,Male,White,22,3,Yes
931093,4-May-16,Bachelor's Degree,29-Sep-13,1,3,0.17,Sales,Director,Female,White,23,3,Yes
931151,10-Jun-14,Bachelor's Degree,10-Oct-08,10,9,1.12,Marketing,Associate,Female,White,33,3,Yes
931180,30-Nov-13,Bachelor's Degree,24-Nov-08,0,1,0.34,Engineering,VP,Male,Asian,22,2,No
931325,9-Oct-13,High School Diploma/GED,6-Aug-13,2,5,0.37,Sales,Analyst,Male,White,22,4,Yes
931702,28-Oct-14,Master's Degree,4-Dec-09,5,4,1.21,Marketing,Director,Male,Missing,34,3,Yes
931731,26-Feb-14,Bachelor's Degree,26-May-13,10,5,1.98,Engineering,Associate,Male,White,35,3,No
933239,15-Apr-14,Bachelor's Degree,26-Apr-11,4,5,0.75,Sales,VP,Male,Black or African American,22,3,Yes
933297,7-Apr-15,High School Diploma/GED,11-Jul-09,1,5,0.27,Marketing,Analyst,Male,White,24,3,Yes
933384,20-Aug-15,Bachelor's Degree,18-Jul-12,6,5,1.28,Engineering,Director,Male,Hispanic/Latino,23,2,No
933935,7-Jul-13,Master's Degree,24-Mar-10,8,3,2.63,Sales,Associate,Female,White,42,3,Yes
933964,25-Sep-13,Bachelor's Degree,25-Jul-11,4,3,1.25,Marketing,VP,Female,White,23,3,Yes
934022,4-Jan-14,High School Diploma/GED,22-Apr-13,1,4,0.33,Engineering,Analyst,Female,White,23,4,Yes
934080,7-Jan-14,Bachelor's Degree,5-Nov-13,5,5,1.05,Sales,Director,Female,White,22,3,No
934109,8-Mar-16,Bachelor's Degree,13-Feb-15,0,1,0.17,Marketing,Associate,Female,Asian,23,4,Yes
934167,9-Feb-14,Bachelor's Degree,15-Oct-09,1,3,0.25,Engineering,VP,Male,Hispanic/Latino,23,3,No
934747,3-Jul-16,Bachelor's Degree,11-Dec-13,5,2,2.29,Sales,Analyst,Male,Hispanic/Latino,30,2,No
934979,8-Jul-15,Bachelor's Degree,14-Jul-14,6,4,1.6,Marketing,Director,Female,White,22,4,Yes
935008,26-Mar-16,Bachelor's Degree,13-May-15,8,3,2.79,Engineering,Associate,Male,White,22,3,No
935066,7-Dec-15,Bachelor's Degree,1-Mar-10,2,3,0.72,Sales,VP,Male,Asian,27,3,No
935472,10-Sep-15,Bachelor's Degree,16-Jan-15,21,3,7,Marketing,Analyst,Male,White,56,3,Yes
935530,23-Aug-13,Bachelor's Degree,29-Sep-09,9,2,4.51,Engineering,Director,Male,White,35,3,No
935646,23-Aug-14,Master's Degree,17-May-14,1,2,0.71,Sales,Associate,Male,Asian,25,3,Yes
936545,30-Mar-14,Bachelor's Degree,30-Oct-09,1,3,0.17,Marketing,VP,Male,White,22,2,No
936777,24-Jul-16,Bachelor's Degree,24-Aug-14,9,5,1.82,Engineering,Analyst,Male,White,31,4,Yes
936922,30-Aug-14,Bachelor's Degree,28-Feb-12,1,2,0.55,Sales,Director,Male,White,23,4,Yes
937067,30-Jul-13,Master's Degree,23-Jul-12,6,3,2.11,Marketing,Associate,Female,White,28,3,No
937241,7-May-14,Bachelor's Degree,7-Dec-08,10,3,3.47,Engineering,VP,Male,White,32,4,Yes
937618,3-Nov-14,Bachelor's Degree,7-Mar-11,16,3,5.31,Sales,Analyst,Male,White,39,3,No
937705,9-Mar-14,Master's Degree,6-Jul-08,10,5,1.94,Marketing,Director,Female,White,23,3,Yes
938053,4-Jan-16,Bachelor's Degree,13-May-13,4,2,2.03,Engineering,Associate,Male,White,27,3,Yes
938256,29-Sep-14,High School Diploma/GED,20-Feb-09,6,4,1.39,Sales,VP,Female,White,27,3,No
938343,6-Apr-15,Master's Degree,11-Jul-11,10,1,9.99,Marketing,Analyst,Male,White,47,3,No
938401,24-May-14,Bachelor's Degree,5-Oct-12,4,1,4.38,Engineering,Director,Male,Asian,30,3,No
938459,17-Mar-14,Bachelor's Degree,3-May-12,2,3,0.75,Sales,Associate,Female,White,31,4,Yes
938836,10-Jul-14,Master's Degree,1-Jan-13,20,5,4.08,Marketing,VP,Female,White,44,2,No
938923,1-May-16,Bachelor's Degree,15-Feb-13,4,4,0.92,Engineering,Analyst,Male,Hispanic/Latino,23,3,No
939387,2-Aug-15,Bachelor's Degree,13-Mar-12,6,3,2,Sales,Director,Female,White,22,3,Yes
931185,22-Sep-15,Master's Degree,22-Apr-10,12,4,2.98,Marketing,Associate,Male,Asian,35,3,Yes
931910,9-Jan-15,Master's Degree,5-Jul-09,4,3,1.25,Engineering,VP,Female,White,24,3,No
933128,6-Sep-14,Bachelor's Degree,24-Jul-14,1,2,0.25,Sales,Analyst,Male,Hispanic/Latino,22,2,No
933621,8-Nov-14,Bachelor's Degree,4-Jun-11,3,3,1.03,Marketing,Director,Male,White,22,3,Yes
933882,25-Aug-15,Bachelor's Degree,21-Oct-11,29,6,4.86,Engineering,Associate,Male,White,64,3,No
933911,26-Apr-14,Bachelor's Degree,27-Aug-13,3,3,0.98,Sales,VP,Male,White,25,3,No
934259,11-Jul-16,Technical Diploma,8-Oct-11,8,3,2.73,Marketing,Analyst,Female,Hispanic/Latino,37,2,Yes
934375,5-Sep-15,Bachelor's Degree,7-Nov-14,0,1,0.08,Engineering,Director,Female,White,22,4,Yes
935419,6-Dec-13,Master's Degree,25-Oct-10,8,2,4.17,Sales,Associate,Male,Black or African American,45,2,No
935564,25-Aug-16,Doctorate Degree,8-Jun-13,4,2,1.96,Marketing,VP,Female,White,28,3,Yes
935680,12-Feb-14,Master's Degree,1-Feb-12,7,3,2.3,Engineering,Analyst,Female,White,33,3,Yes
936840,3-Sep-14,Bachelor's Degree,19-Jun-10,5,4,1.19,Sales,Director,Female,Asian,29,3,Yes
937101,18-Feb-16,Bachelor's Degree,20-Apr-11,3,3,0.97,Marketing,Associate,Female,Asian,26,3,No
938058,7-Nov-14,Master's Degree,7-Mar-14,5,3,1.5,Engineering,VP,Female,Asian,30,4,Yes
938203,25-Aug-16,Bachelor's Degree,23-Feb-14,0,2,0.08,Sales,Analyst,Female,Asian,22,4,No
939131,24-Jun-14,Bachelor's Degree,18-Jul-11,0,1,0.18,Marketing,Director,Female,Hispanic/Latino,30,3,No
930523,25-Aug-16,Bachelor's Degree,22-Jan-11,6,3,2.03,Engineering,Associate,Male,White,28,0,No
930581,8-Feb-14,Master's Degree,6-Feb-10,4,3,1.33,Sales,VP,Male,White,34,4,Yes
931596,14-Jun-14,Bachelor's Degree,26-Oct-12,4,1,4.04,Marketing,Analyst,Male,White,34,3,No
931712,20-Apr-15,Bachelor's Degree,15-Jan-10,9,4,2.37,Engineering,Director,Female,White,39,3,No
931799,14-Oct-14,Bachelor's Degree,27-May-14,3,4,0.81,Sales,Associate,Female,Asian,25,3,No
931886,1-Sep-15,Master's Degree,25-May-10,4,2,1.9,Marketing,VP,Male,White,27,3,Yes
932118,25-Apr-16,Bachelor's Degree,5-Jul-15,1,3,0.19,Engineering,Analyst,Female,White,22,3,No
932263,15-Dec-15,Bachelor's Degree,26-Sep-13,3,2,1.54,Sales,Director,Male,White,25,3,Yes
932350,10-Aug-15,Bachelor's Degree,8-Jul-14,0,1,0.41,Marketing,Associate,Male,White,22,3,No
932582,29-Aug-14,Bachelor's Degree,11-Aug-10,2,1,1.94,Engineering,VP,Female,Asian,25,2,No
933278,31-Dec-15,Bachelor's Degree,25-Feb-10,1,2,0.25,Sales,Analyst,Male,White,23,3,Yes
933423,14-Dec-13,Bachelor's Degree,10-Oct-13,5,2,2.48,Marketing,Director,Male,White,29,4,No
934177,13-Feb-16,Doctorate Degree,9-Dec-14,7,3,2.32,Engineering,Associate,Male,White,27,3,Yes
934235,19-Apr-15,Master's Degree,4-Apr-13,16,4,3.96,Sales,VP,Male,White,45,3,No
935134,8-Jan-15,Bachelor's Degree,15-Jul-13,5,3,1.66,Marketing,Analyst,Female,White,26,3,Yes
936961,25-Aug-16,Master's Degree,4-Jun-15,4,3,1.31,Engineering,Director,Female,White,28,3,Yes
937628,25-Mar-14,Bachelor's Degree,4-May-12,7,3,2.17,Sales,Associate,Male,White,23,0,No
937657,5-Apr-15,Bachelor's Degree,24-Jun-09,8,4,2.02,Marketing,VP,Female,White,23,4,Yes
937918,14-Jan-14,Bachelor's Degree,28-Jan-09,0,4,2.17,Sales,Associate,Female,White,27,3,Yes
937947,17-Apr-14,Master's Degree,6-Oct-10,5,5,0.97,Marketing,VP,Female,White,25,4,Yes
938005,3-Jul-14,Bachelor's Degree,30-Apr-11,4,5,0.87,Engineering,Analyst,Female,White,23,4,Yes
938121,5-Mar-14,Master's Degree,4-Jan-11,5,3,1.61,Sales,Director,Male,White,40,3,No
938179,2-Apr-14,Master's Degree,23-Jul-11,11,8,1.43,Marketing,Associate,Female,White,30,3,Yes
939397,6-Sep-15,Bachelor's Degree,23-Jan-14,2,3,0.7,Engineering,VP,Female,White,24,3,Yes
930644,21-Jan-15,Bachelor's Degree,23-Jul-12,0,1,0.34,Sales,Analyst,Male,White,23,4,Yes
930760,7-Oct-15,Master's Degree,17-Nov-13,2,3,0.53,Marketing,Director,Male,White,24,2,No
931166,10-Jan-15,Master's Degree,15-Mar-10,4,3,1.23,Engineering,Associate,Female,Asian,40,3,No
931282,15-May-16,Master's Degree,5-May-12,5,3,1.56,Sales,VP,Male,White,33,3,Yes
931311,14-Feb-14,Bachelor's Degree,15-Jun-11,3,5,0.58,Marketing,Analyst,Female,White,24,3,No
931659,20-Feb-14,Bachelor's Degree,25-Jan-10,12,1,11.66,Engineering,Director,Female,White,31,3,Yes
931833,18-Feb-14,Bachelor's Degree,10-Sep-08,5,4,1.23,Sales,Associate,Male,White,28,3,Yes
932181,25-Aug-16,Bachelor's Degree,18-Feb-12,15,6,2.48,Marketing,VP,Male,White,23,3,Yes
932703,25-Aug-16,Bachelor's Degree,9-May-16,6,5,1.18,Engineering,Analyst,Female,White,22,4,No
932790,22-Oct-13,Bachelor's Degree,6-Jun-09,1,4,0.23,Sales,Director,Female,Asian,23,2,No
932935,26-Aug-15,Bachelor's Degree,15-Mar-14,16,5,3.13,Marketing,Associate,Female,White,24,3,No
933486,5-Aug-14,Bachelor's Degree,2-Oct-08,12,3,4.11,Engineering,VP,Male,White,45,4,Yes
933602,27-Oct-13,Bachelor's Degree,30-Mar-11,12,7,1.7,Sales,Analyst,Male,White,45,3,No
934240,11-Oct-14,Master's Degree,7-Feb-13,5,3,1.61,Marketing,Director,Male,White,28,3,Yes
934269,25-Aug-16,Master's Degree,18-Jul-14,2,2,1.04,Engineering,Associate,Male,White,29,3,Yes
934327,30-Jul-15,Bachelor's Degree,27-Jul-12,12,4,2.9,Sales,VP,Male,White,35,2,No
936560,8-Aug-15,Bachelor's Degree,30-Oct-12,3,7,0.41,Marketing,Analyst,Female,White,22,4,Yes
937807,21-Aug-16,Bachelor's Degree,10-Sep-13,3,5,0.56,Engineering,Director,Female,White,26,3,No
938097,31-Jan-14,Bachelor's Degree,19-Jul-12,4,3,1.39,Sales,Associate,Female,Asian,24,3,Yes
938213,15-Dec-13,Bachelor's Degree,15-Jun-12,5,4,1.19,Marketing,VP,Male,Asian,28,3,No
938271,27-Jul-15,Master's Degree,19-Feb-10,13,3,4.34,Sales,Associate,Male,Asian,41,3,No
938648,25-Feb-16,Bachelor's Degree,9-Sep-11,6,3,2.01,Marketing,VP,Male,White,24,3,Yes
938706,2-Jul-16,Master's Degree,4-Jan-14,8,3,2.67,Engineering,Analyst,Female,Asian,40,3,No
938735,29-Jul-16,Master's Degree,21-Aug-11,2,2,1.03,Sales,Director,Female,White,26,2,Yes
939257,30-Oct-15,Bachelor's Degree,17-Nov-12,10,3,3.32,Marketing,Associate,Male,White,32,4,No
939344,5-Feb-16,Bachelor's Degree,1-May-14,5,3,1.5,Engineering,VP,Male,White,27,4,No
939373,17-Feb-16,Bachelor's Degree,9-Nov-13,4,3,1.24,Sales,Analyst,Male,White,25,3,Yes
939634,11-Nov-15,Bachelor's Degree,22-Jul-11,3,1,2.92,Marketing,Director,Male,Hispanic/Latino,27,3,No
930011,25-Jul-15,High School Diploma/GED,9-Jan-10,4,2,1.88,Engineering,Associate,Female,White,22,3,Yes
930417,23-Feb-14,Bachelor's Degree,23-Apr-10,5,3,1.57,Sales,VP,Female,White,22,3,Yes
930910,16-Dec-14,Bachelor's Degree,19-Mar-09,2,2,1.13,Marketing,Analyst,Male,White,25,3,Yes
931142,24-Aug-16,Bachelor's Degree,3-Jul-16,1,2,0.52,Engineering,Director,Female,White,23,2,No
931896,25-Aug-16,Bachelor's Degree,15-Dec-15,8,3,2.51,Sales,Associate,Female,White,26,3,No
932592,10-Mar-16,Master's Degree,4-Nov-14,16,3,5.25,Marketing,VP,Male,White,53,3,No
932824,20-Nov-14,Master's Degree,29-Jul-11,4,2,1.87,Engineering,Analyst,Male,White,24,3,Yes
